"zhuyin","wadegiles","mps2","yale","tongyong","hanyu","gwoyeu1","gwoyeu2","gwoyeu3","gwoyeu4"
"ㄖㄜ","je","re","re","re","re","rhe","re","ree","reh"
"ㄖㄣ","jen","ren","ren","ren","ren","rhen","ren","reen","renn"
"ㄖㄥ","jeng","reng","reng","reng","reng","rheng","reng","reeng","renq"
"ㄖ","jih","r","r","rih","ri","rhy","ry","ryy","ryh"
"ㄖㄨㄥ","jung","rung","rung","rong","rong","rhong","rong","roong","ronq"
"ㄖㄡ","jou","rou","rou","rou","rou","rhou","rou","roou","row"
"ㄖㄨ","ju","ru","ru","ru","ru","rhu","ru","ruu","ruh"
"ㄖㄨㄢ","juan","ruan","rwan","ruan","ruan","rhuan","ruan","roan","ruann"
"ㄖㄨㄟ","jui","ruei","rwei","ruei","rui","rhuei","ruei","roei","ruey"
"ㄖㄨㄣ","jun","ruen","rwun","run","run","rhuen","ruen","roen","ruenn"
"ㄖㄨㄛ","jo","ruo","rwo","ruo","ruo","rhuo","ruo","ruoo","ruoh"
"ㄙㄚ","sa","sa","sa","sa","sa","sa","sar","saa","sah"
"ㄙㄞ","sai","sai","sai","sai","sai","sai","sair","sae","say"
"ㄙㄢ","san","san","san","san","san","san","sarn","saan","sann"
"ㄙㄤ","sang","sang","sang","sang","sang","sang","sarng","saang","sanq"
"ㄙㄠ","sao","sau","sau","sao","sao","sau","saur","sao","saw"
"ㄙㄜ","se","se","se","se","se","se","ser","see","seh"
"ㄙㄟ","sei","sei","sei","sei","sei","sei","seir","seei","sey"
"ㄙㄣ","sen","sen","sen","sen","sen","sen","sern","seen","senn"
"ㄙㄥ","seng","seng","seng","seng","seng","seng","serng","seeng","senq"
"ㄕㄚ","sha","sha","sha","sha","sha","sha","shar","shaa","shah"
"ㄕㄞ","shai","shai","shai","shai","shai","shai","shair","shae","shay"
"ㄕㄢ","shan","shan","shan","shan","shan","shan","sharn","shaan","shann"
"ㄕㄤ","shang","shang","shang","shang","shang","shang","sharng","shaang","shanq"
"ㄕㄠ","shao","shau","shau","shao","shao","shau","shaur","shao","shaw"
"ㄕㄜ","she","she","she","she","she","she","sher","shee","sheh"
"ㄕㄟ","shei","shei","shei","shei","shei","shei","sheir","sheei","shey"
"ㄕㄣ","shen","shen","shen","shen","shen","shen","shern","sheen","shenn"
"ㄕㄥ","sheng","sheng","sheng","sheng","sheng","sheng","sherng","sheeng","shenq"
"ㄕ","shih","shr","shr","shih","shi","shy","shyr","shyy","shyh"
"ㄕㄨㄥ","shung","shung","shung","shong","shong","shong","shorng","shoong","shonq"
"ㄕㄡ","shou","shou","shou","shou","shou","shou","shour","shoou","show"
"ㄕㄨ","shu","shu","shu","shu","shu","shu","shwu","shuu","shuh"
"ㄕㄨㄚ","shua","shua","shwa","shua","shua","shua","shwa","shoa","shuah"
"ㄕㄨㄞ","shuai","shuai","shwai","shuai","shuai","shuai","shwai","shoai","shuay"
"ㄕㄨㄢ","shuan","shuan","shwan","shuan","shuan","shuan","shwan","shoan","shuann"
"ㄕㄨㄤ","shuang","shuang","shwang","shuang","shuang","shuang","shwang","shoang","shuanq"
"ㄕㄨㄟ","shui","shuei","shwei","shuei","shui","shuei","shwei","shoei","shuey"
"ㄕㄨㄣ","shun","shuen","shwun","shun","shun","shuen","shwen","shoen","shuenn"
"ㄕㄨㄛ","shuo","shuo","shwo","shuo","shuo","shuo","shwo","shuoo","shuoh"
"ㄙ","ssu","sz","sz","sih","si","sy","syr","syy","syh"
"ㄙㄨㄥ","sung","sung","sung","song","song","song","sorng","soong","sonq"
"ㄙㄡ","sou","sou","sou","sou","sou","sou","sour","soou","sow"
"ㄙㄨ","su","su","su","su","su","su","swu","suu","suh"
"ㄙㄨㄢ","suan","suan","swan","suan","suan","suan","swan","soan","suann"
"ㄙㄨㄟ","sui","suei","swei","suei","sui","suei","swei","soei","suey"
"ㄙㄨㄣ","sun","suen","swen","sun","sun","suen","swen","soen","suenn"
"ㄙㄨㄛ","so","suo","swo","suo","suo","suo","swo","suoo","suoh"
"ㄊㄚ","t`a","ta","ta","ta","ta","ta","tar","taa","tah"
"ㄊㄞ","t`ai","tai","tai","tai","tai","tai","tair","tae","tay"
"ㄊㄢ","t`an","tan","tan","tan","tan","tan","tarn","taan","tann"
"ㄊㄤ","t`ang","tang","tang","tang","tang","tang","tarng","taang","tanq"
"ㄊㄠ","t`ao","tau","tau","tao","tao","tau","taur","tao","taw"
"ㄊㄜ","t`e","te","te","te","te","te","ter","tee","teh"
"ㄊㄥ","t`eng","teng","teng","teng","teng","teng","terng","teeng","tenq"
"ㄊㄧ","t`i","ti","ti","ti","ti","ti","tyi","tii","tih"
"ㄊㄧㄢ","t`ien","tian","tyan","tian","tian","tian","tyan","tean","tiann"
"ㄊㄧㄠ","t`iao","tiau","tyau","tiao","tiao","tiau","tyau","teau","tiaw"
"ㄊㄧㄝ","t`ieh","tie","tye","tie","tie","tie","tye","tiee","tieh"
"ㄊㄧㄥ","t`ing","ting","ting","ting","ting","ting","tyng","tiing","tinq"
"ㄊㄨㄥ","t`ung","tung","tung","tong","tong","tong","torng","toong","tonq"
"ㄊㄡ","t`ou","tou","tou","tou","tou","tou","tour","toou","tow"
"ㄊㄨ","t`u","tu","tu","tu","tu","tu","twu","tuu","tuh"
